family,scheme,snr_db,frames,negative_trials,positive_trials,fp,fn,fer,noiseless_fp,mean_iterations,balanced_error,noiseless_balanced_error,fp_lo95,fp_hi95,fp_events,fn_lo95,fn_hi95,fn_events,fer_lo95,fer_hi95,fer_events,balanced_error_lo95,balanced_error_hi95,balanced_error_events
exact,conventional,1.4,10000,2700000,2700000,0.0,0.9716322222222222,1.0,0.0,50.0,0.4858161111111111,0.0,0.0,0.00029952835977664627,0,0.9714151851851852,0.9718518796296296,2623407,1.0,1.0,10000,0.4857072175925926,0.48592166666666664,2623407
exact,conventional,1.5,10000,2700000,2700000,0.0,0.9581522222222222,1.0,0.0,50.0,0.4790761111111111,0.0,0.0,0.00029952835977664627,0,0.9578618148148148,0.9584304166666666,2587011,1.0,1.0,10000,0.478931662037037,0.4792161111111111,2587011
exact,conventional,1.6,10000,2700000,2700000,0.0,0.9345374074074074,1.0,0.0,50.0,0.4672687037037037,0.0,0.0,0.00029952835977664627,0,0.9341218425925926,0.9349456018518518,2523251,1.0,1.0,10000,0.4670794398148148,0.46747246296296296,2523251
exact,conventional,1.7,10000,2700000,2700000,0.0,0.8906359259259259,1.0,0.0,50.0,0.44531796296296294,0.0,0.0,0.00029952835977664627,0,0.8900065185185184,0.8913071666666667,2404717,1.0,1.0,10000,0.4449745462962963,0.44564670833333336,2404717
exact,conventional,1.8,10000,2700000,2700000,0.0,0.8022351851851852,0.9997,0.0,49.9971,0.4011175925925926,0.0,0.0,0.00029952835977664627,0,0.8008764074074074,0.8036246574074074,2166035,0.9993,1.0,9997,0.4004680648148148,0.4017886712962963,2166035
exact,conventional,1.9,10000,2700000,2700000,0.0,0.511172962962963,0.8598,0.0,48.9163,0.2555864814814815,0.0,0.0,0.00029952835977664627,0,0.5058125740740741,0.5163256481481482,1380167,0.8532,0.8665,8598,0.2530012962962963,0.25809309722222223,1380167
exact,conventional,2.0,10000,2700000,2700000,0.0,0.054482222222222224,0.1561,0.0,36.453,0.027241111111111112,0.0,0.0,0.00029952835977664627,0,0.05133809259259259,0.05742649074074073,147102,0.1491,0.1631,1561,0.02572875462962963,0.02881614814814815,147102
exact,conventional,2.1,10000,2700000,2700000,0.0,0.00022851851851851852,0.001,0.0,23.6846,0.00011425925925925926,0.0,0.0,0.00029952835977664627,0,6.441666666666667e-05,0.00045447222222222205,617,0.0004,0.0017,10,2.9995370370370373e-05,0.00022579166666666638,617
exact,conventional,2.2,10000,2700000,2700000,0.0,0.0,0.0,0.0,18.0759,0.0,0.0,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0
exact,conventional,2.3,10000,2700000,2700000,0.0,0.0,0.0,0.0,14.9073,0.0,0.0,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0
exact,conventional,2.4,10000,2700000,2700000,0.0,0.0,0.0,0.0,12.8074,0.0,0.0,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0
exact,conventional,2.5,10000,2700000,2700000,0.0,0.0,0.0,0.0,11.2464,0.0,0.0,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0
exact,conventional,2.6,10000,2700000,2700000,0.0,0.0,0.0,0.0,10.056,0.0,0.0,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0
exact,conventional,2.7,10000,2700000,2700000,0.0,0.0,0.0,0.0,9.1046,0.0,0.0,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0
exact,conventional,2.8,10000,2700000,2700000,0.0,0.0,0.0,0.0,8.3179,0.0,0.0,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0
exact,conventional,2.9,10000,2700000,2700000,0.0,0.0,0.0,0.0,7.6469,0.0,0.0,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0
exact,conventional,3.5,10000,2700000,2700000,0.0,0.0,0.0,0.0,5.1533,0.0,0.0,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0
id,bfc,-5.5,10000,2700000,2700000,1.111111111111111e-06,0.9985851851851851,1.0,1.4814814814814815e-06,50.0,0.4992931481481481,7.407407407407407e-07,0.0,2.5925925925925925e-06,3,0.9985403611111111,0.9986307407407408,2696180,1.0,1.0,10000,0.49927091203703705,0.49931593055555556,2696183
id,bfc,-4.9,10000,2700000,2700000,1.4814814814814815e-06,0.8061351851851852,1.0,1.4814814814814815e-06,50.0,0.4030683333333333,7.407407407407407e-07,0.0,2.962962962962963e-06,4,0.804188324074074,0.8081758981481482,2176565,1.0,1.0,10000,0.40202486574074076,0.4041032129629629,2176569
id,bfc,-4.8,10000,2700000,2700000,2.5925925925925925e-06,0.6104685185185185,1.0,1.4814814814814815e-06,50.0,0.30523555555555554,7.407407407407407e-07,7.407407407407407e-07,4.814814814814815e-06,7,0.6079925740740741,0.612883712962963,1648265,1.0,1.0,10000,0.3040222685185185,0.30641282407407405,1648272
id,bfc,-4.7,10000,2700000,2700000,1.4814814814814815e-06,0.37718703703703704,0.9997,1.4814814814814815e-06,50.0,0.18859425925925927,7.407407407407407e-07,3.7037037037037036e-07,2.962962962962963e-06,4,0.3741554166666667,0.38003589814814814,1018405,0.9993,1.0,9997,0.18721716203703703,0.19001209259259258,1018409
id,bfc,-4.6,10000,2700000,2700000,1.4814814814814815e-06,0.1366111111111111,0.9562,1.4814814814814815e-06,49.9821,0.0683062962962963,7.407407407407407e-07,3.7037037037037036e-07,2.962962962962963e-06,4,0.13430032407407408,0.13897358333333334,368850,0.9523,0.9602,9562,0.06712702777777778,0.06953638425925926,368854
id,bfc,-4.5,10000,2700000,2700000,1.111111111111111e-06,0.01936,0.5579,1.4814814814814815e-06,49.4752,0.009680555555555555,7.407407407407407e-07,0.0,2.5925925925925925e-06,3,0.01853572222222222,0.02017571296296296,52272,0.548,0.5674,5579,0.009252087962962964,0.010087430555555556,52275
id,bfc,-4.4,10000,2700000,2700000,1.4814814814814815e-06,0.0008474074074074074,0.0927,1.4814814814814815e-06,46.6319,0.00042444444444444447,7.407407407407407e-07,3.7037037037037036e-07,2.962962962962963e-06,4,0.00073925,0.0009577962962962962,2288,0.0869,0.0986,927,0.0003733148148148148,0.0004800046296296296,2292
id,bfc,-4.3,10000,2700000,2700000,1.4814814814814815e-06,1.1111111111111112e-05,0.0033,1.4814814814814815e-06,41.9394,6.296296296296297e-06,7.407407407407407e-07,3.7037037037037036e-07,2.962962962962963e-06,4,5.925925925925926e-06,1.7777777777777777e-05,30,0.0022,0.0044,33,3.5185185185185183e-06,9.444444444444445e-06,34
id,bfc,-4.2,10000,2700000,2700000,1.4814814814814815e-06,0.0,0.0,1.4814814814814815e-06,37.8588,7.407407407407407e-07,7.407407407407407e-07,3.7037037037037036e-07,2.962962962962963e-06,4,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,1.8518518518518518e-07,1.6666666666666667e-06,4
id,bfc,-4.1,10000,2700000,2700000,1.4814814814814815e-06,0.0,0.0,1.4814814814814815e-06,34.5049,7.407407407407407e-07,7.407407407407407e-07,3.7037037037037036e-07,2.962962962962963e-06,4,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,1.8518518518518518e-07,1.6666666666666667e-06,4
id,bfc,-4.0,10000,2700000,2700000,1.4814814814814815e-06,0.0,0.0,1.4814814814814815e-06,31.6629,7.407407407407407e-07,7.407407407407407e-07,3.7037037037037036e-07,2.962962962962963e-06,4,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,1.8518518518518518e-07,1.4814814814814815e-06,4
id,bfc,-3.9,10000,2700000,2700000,1.4814814814814815e-06,0.0,0.0,1.4814814814814815e-06,29.3026,7.407407407407407e-07,7.407407407407407e-07,3.7037037037037036e-07,2.962962962962963e-06,4,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,1.8518518518518518e-07,1.4814814814814815e-06,4
id,bfc,-3.8,10000,2700000,2700000,1.4814814814814815e-06,0.0,0.0,1.4814814814814815e-06,27.2827,7.407407407407407e-07,7.407407407407407e-07,3.7037037037037036e-07,3.3333333333333333e-06,4,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,1.8518518518518518e-07,1.6666666666666667e-06,4
id,bfc,-3.7,10000,2700000,2700000,1.4814814814814815e-06,0.0,0.0,1.4814814814814815e-06,25.5405,7.407407407407407e-07,7.407407407407407e-07,3.7037037037037036e-07,2.962962962962963e-06,4,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,1.8518518518518518e-07,1.4814814814814815e-06,4
id,bfc,-3.6,10000,2700000,2700000,1.4814814814814815e-06,0.0,0.0,1.4814814814814815e-06,24.0398,7.407407407407407e-07,7.407407407407407e-07,3.7037037037037036e-07,2.962962962962963e-06,4,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,1.8518518518518518e-07,1.4814814814814815e-06,4
id,bfc,-3.0,10000,2700000,2700000,1.4814814814814815e-06,0.0,0.0,1.4814814814814815e-06,17.5001,7.407407407407407e-07,7.407407407407407e-07,3.7037037037037036e-07,2.962962962962963e-06,4,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,1.8518518518518518e-07,1.4814814814814815e-06,4
id,bfc,0.0,10000,2700000,2700000,1.4814814814814815e-06,0.0,0.0,1.4814814814814815e-06,6.277,7.407407407407407e-07,7.407407407407407e-07,3.7037037037037036e-07,2.962962962962963e-06,4,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,1.8518518518518518e-07,1.4814814814814815e-06,4
id,bfc,1.1,10000,2700000,2700000,1.4814814814814815e-06,0.0,0.0,1.4814814814814815e-06,4.6453,7.407407407407407e-07,7.407407407407407e-07,3.7037037037037036e-07,2.962962962962963e-06,4,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,1.8518518518518518e-07,1.4814814814814815e-06,4
id,bfc,1.2,10000,2700000,2700000,1.4814814814814815e-06,0.0,0.0,1.4814814814814815e-06,4.525,7.407407407407407e-07,7.407407407407407e-07,3.7037037037037036e-07,2.962962962962963e-06,4,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,1.8518518518518518e-07,1.4814814814814815e-06,4
