family,epsilon,n_t,r,T,K,m,S,rate,bound,aligned
rank,0.01,50,25,33554432,15979,399475,21,0.3721549138694691,0.00999981164932251,True
rank,0.01,50,25,33554432,15979,399475,21,0.3721549138694691,0.00999981164932251,False
rank,0.01,51,26,33554432,15979,415454,21,0.3659672396439181,0.00999981164932251,True
rank,0.01,51,26,33554432,15979,415454,21,0.3659672396439181,0.00999981164932251,False
rank,0.01,52,26,67108864,31957,830882,21,0.3781593091858208,0.00999981164932251,True
rank,0.01,52,26,67108864,31957,830882,21,0.3781593091858208,0.00999981164932251,False
rank,0.01,53,27,67108864,31957,862839,21,0.3720515445600954,0.00999981164932251,True
rank,0.01,53,27,67108864,31957,862839,21,0.3720515445600954,0.00999981164932251,False
rank,0.01,54,27,134217728,63914,1725678,21,0.3836802196608344,0.009999968111515045,True
rank,0.01,54,27,134217728,63914,1725678,21,0.3836802196608344,0.009999968111515045,False
rank,0.01,55,28,134217728,63914,1789592,21,0.37765816875598535,0.009999968111515045,True
rank,0.01,55,28,134217728,63914,1789592,21,0.37765816875598535,0.009999968111515045,False
rank,0.01,56,28,268435456,127827,3579156,21,0.3887712142020389,0.009999968111515045,True
rank,0.01,56,28,268435456,127827,3579156,21,0.3887712142020389,0.009999968111515045,False
rank,0.01,57,29,268435456,127827,3706983,21,0.382838843304985,0.009999968111515045,True
rank,0.01,57,29,268435456,127827,3706983,21,0.382838843304985,0.009999968111515045,False
rank,0.01,58,29,536870912,255653,7413937,21,0.39347945560721603,0.009999968111515045,True
rank,0.01,58,29,536870912,255653,7413937,21,0.39347945560721603,0.009999968111515045,False
rank,0.01,59,30,536870912,255653,7669590,21,0.3876392885711776,0.009999968111515045,True
rank,0.01,59,30,536870912,255653,7669590,21,0.3876392885711776,0.009999968111515045,False
rank,0.01,60,30,1073741824,511306,15339180,21,0.3978453004283246,0.009999987669289112,True
rank,0.01,60,30,1073741824,511306,15339180,21,0.3978453004283246,0.009999987669289112,False
rank,0.01,61,31,1073741824,511306,15850486,21,0.3920987498438989,0.009999987669289112,True
