experiment,family,n_t,snr_db,frames,failed_frames,fn_count,failed_frames_without_fn,fer,fer_lower95,fer_upper95,source
waterfall,id,40,0.6,2500,2499,939749,0,0.9996,0.9977733793013243,0.9999898729280854,results/evidence/noisy/waterfall/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p0p6.mat
waterfall,id,40,0.7,2500,2272,549742,23,0.9088,0.8968305690088496,0.9198014016147972,results/evidence/noisy/waterfall/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p0p7.mat
waterfall,id,40,0.8,2500,507,36888,32,0.2028,0.18719382026696513,0.21910543331267876,results/evidence/noisy/waterfall/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p0p8.mat
waterfall,id,40,0.9,2500,5,590,0,0.002,0.0006497034712109682,0.004661110898133035,results/evidence/noisy/waterfall/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p0p9.mat
waterfall,id,40,1,2500,2,472,0,0.0008,9.689839917819219e-05,0.002886856904276735,results/evidence/noisy/waterfall/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p1p0.mat
waterfall,id,40,1.1,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/waterfall/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p1p1.mat
waterfall,id,40,1.2000000000000002,2500,2,806,0,0.0008,9.689839917819219e-05,0.002886856904276735,results/evidence/noisy/waterfall/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p1p2.mat
waterfall,id,40,1.3,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/waterfall/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p1p3.mat
waterfall,id,40,1.4,2500,1,358,0,0.0004,1.0127071914576963e-05,0.002226620698675696,results/evidence/noisy/waterfall/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p1p4.mat
waterfall,id,40,1.5,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/waterfall/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p1p5.mat
waterfall,id,40,1.6,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/waterfall/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p1p6.mat
waterfall,id,40,1.7000000000000002,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/waterfall/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p1p7.mat
waterfall,id,40,1.8,2500,1,1,0,0.0004,1.0127071914576963e-05,0.002226620698675696,results/evidence/noisy/waterfall/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p1p8.mat
waterfall,id,40,1.9,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/waterfall/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p1p9.mat
waterfall,id,40,2,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/waterfall/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p2p0.mat
waterfall,id,40,2.1,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/waterfall/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p2p1.mat
waterfall,id,40,2.2,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/waterfall/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p2p2.mat
waterfall,id,40,2.3,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/waterfall/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p2p3.mat
waterfall,id,40,2.4,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/waterfall/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p2p4.mat
waterfall,id,40,2.5,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/waterfall/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p2p5.mat
waterfall,id,40,2.6,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/waterfall/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p2p6.mat
waterfall,rank,40,0.5,2500,2500,978013,0,1.0,0.9985255363096405,1,results/evidence/noisy/waterfall/rank/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p0p5.mat
waterfall,rank,40,0.6,2500,2500,934892,0,1.0,0.9985255363096405,1,results/evidence/noisy/waterfall/rank/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p0p6.mat
